update thummbnail kuis
Sony PlayStation dan Era Konsol Jepang, https://lh5.googleusercontent.com/6wEeU9CQklORXqwAyCknX-sG3gH-BgX1-PSCTa10RQRvd7CRD1ewhNnGb5d2_eslFd9D1nmFqjgNaI0Sh5h4f77fSluUWwZG3p5w_ECZ7ApK3BlCqVz7PMzGx9UjfR0lUKA5oWNXe9SMoU1QVH-vK27LW8jDRjvBaLWin894rnHspal5H4thaGJZ7w
Kyoto Fushimi Inari dan Kuil Ikonik, https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgTd6GxAdMA3TTnYY0VMkhd-Yrxox7QzSW9pmzl0ak4DnpmT1e2XzqRaQn8jhO48FSG7GUd_tWEeO-3DRUURXl89LXPjqSoRP7XV5k58LM9SFbBQ-ZTB2pm09u6gPdBcWsDoHq4xEt5h8ZHre1X2I3swrTdMqD3l6I9YX6JWdCKZkdRJ_z50BtH/s1280/Fushimi%20Inari%20Taisha-3.jpg
Dragon Ball serta Karya Akira Toriyama, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTY6CzkzKHIeWRFSUGXQeQrPTMxhPdG9tsDEGH_dLmvQHJdcJzpYdMfdBZe&s=10
Ramen Sushi dan Wagyu dalam Satu Tes, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD4jiX6i4Z1IIsz-G3-KsdSKaqIhOB7uB35ttc8M35llDIICEK2t2-gCer&s=10
Hanami serta Festival Musim Semi Jepang, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJOxWDlWySW7XUE9l9KEBTRW6htipcRLT9n-vJLgRxvtk_SspQ2JdADYw&s=10
Naruto dan Teknik Ninja Konoha, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLGCMJnGmaoJvBVLPDBk9mcIs-23pLzJzwFKwe9mZwefQQnfcQaDxneds&s=10


update thumbnail vote dan poll
judul, link gambar
Musim Terbaik untuk Liburan ke Jepang, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ62yg1eLJAkDPSFbVnD0PZ2C25qEXqEei4R7PxEmLk4nuXPggA7d9kCWAu&s=10
Bleach atau Haikyu Pilih Satu, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1MylRq3V_ntEtLH7dIBlHg8sDSkMRS7ig21bPBGTerrtnomcmb6oE4G0&s=10
Spy x Family atau Chainsaw Man, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7SVtl4fxM3VrEJ1xHkbcErJkomRbotpBKf_22XG8L4RhDhmwOj5m-2Zeq&s=10
Wagyu Steak atau Matcha Dessert, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9y_TYMHLIriZTu0dokuxHiE7RfeHirubsRKnNPOwk00fqFviFSBZf0xi9&s=10
Nagoya atau Fukuoka untuk Kuliner, ttps://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJNRL_3bM5alkpKeBO9X0TC_WA7EZycp8sDOdsb-r0jCgfD6UmXKfolco&s=10
One Piece atau Naruto Legenda Shonen, https://awsimages.detik.net.id/community/media/visual/2024/02/24/one-piece-dan-naruto.jpeg?w=700&q=90
Udon atau Soba Mirip Tapi Beda Rasa, https://awsimages.detik.net.id/community/media/visual/2024/02/24/one-piece-dan-naruto.jpeg?w=700&q=90
Hanami Picnic atau Cosplay Event More Fun, https://rimage.gnst.jp/livejapan.com/public/article/detail/a/00/01/a0001908/img/basic/a0001908_main.jpg
Genshin atau Honkai Star Rail Pilihanmu, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3Or1_vL9Puv9O9DBROzWMcy_Fv2-w2Ale7NqIuAssZhToxzT_HrN0XGQ&s=10
Kyoto Animation atau Ufotable Animasi Terbaik, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtuL4mkL-7Fmlt0TNxpDY4-THHc3Nih8h4QM0MJb4qzcBmrDGvpY4iVWlp&s=10
Demon Slayer atau Jujutsu Kaisen Lebih Seru, https://image.idntimes.com/post/20210710/vlcsnap-2021-07-10-13h24m24s653-56965fbaa68adf470a17cc45ea5d328d-d6be39bcee90524c0a28ce5ec97691d7.png
Tempura atau Takoyaki Camilan Favorit, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsr-QjpgpbGHCWHgYD6iJjy1TmeD-fiTIfup4wyPEzJnbnxGlvhfkeiA53&s=10
Osaka atau Sapporo Kota Impian Berikutnya, https://images.trvl-media.com/place/6104012/f8fa157e-15a4-4533-84ef-b21cb5b53110.jpg
Onsen atau Matsuri Pengalaman Wajib Coba, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWh5M9SG7JToFtA6vf6-7MOoEWKVZ8SFxmFKh3ENlbii1OMvaHKhxAUfw&s=10
Gacha Game Mana yang Paling Seru Dimainkan, https://shopee.co.id/inspirasi-shopee/wp-content/uploads/2021/10/game-gacha.webp
Anime Mana yang Paling Berkesan Tahun Ini, https://api.duniagames.co.id/optimize-image?url=https%3A%2F%2Fapi.duniagames.co.id%2Fapi%2Fcontent%2Fupload%2Ffile%2F11010173731767303638.jpg&format=webp&width=736&signature=9a96296fd8ab5262b1ccc5cc1ec9a1c0205bfff71cdef2ee1c62ba5ecd22968a
Tokyo atau Kyoto untuk Liburan Pertamamu, https://image.idntimes.com/post/20250730/perbedaan-tokyo-dan-kyoto_9ac3e0a0-59ec-42ea-9950-da7fc8bdae55.jpeg

update thumbnail artikel
judul, link gambar
Kyoto Arashiyama Hanatouro 2026: Illuminasi Musim Dingin, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnkc7JueaxBxPbFONaoc6MvSS4oRBc3k9_dDbKNfxLjIxFT2pyU1ya2OA&s=10
Toyota Umumkan Strategi Kendaraan Listrik untuk Pasar Asia, https://cdn-jpr.jawapos.com/images/43/2026/02/26/WhatsApp-Image-2026-02-26-at-053226-2512597175.jpeg
Jepang Terapkan Kebijakan Visa Digital Nomad untuk Pelancong Remote Work, Jepang Terapkan Kebijakan Visa Digital Nomad untuk Pelancong Remote Work
Tren Demografi: Jepang Catat Rekor Populasi Lansia Tertinggi, https://akcdn.detik.net.id/visual/2021/07/03/oly-2020-2021-tokyo-japan-health-virus-exercise-taiso_169.jpeg?w=400&q=90
Startup AI Jepang Raih Pendanaan Series B US$120 Juta, https://images.bisnis.com/posts/2022/06/19/1545285/arf-starup-2.jpg
Fenomena Konbini Gourmet Masuk Daftar Tren Kuliner Global 2026, https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,f_auto,q_auto:best,w_640/v1634025439/01kdcqk43vk1qy85jqxgvw9be3.jpg
Itinerary 4 Hari Kyoto: Kuil, Arashiyama, dan Gion, https://cdn.jeepe.jp/uploads/public_image/image/4892/thumb_6c930e93-9608-43d3-b356-649464503684.jpg
Panduan Hemat Wisata Tokyo untuk Backpacker Indonesia, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSM7RW7Y3DD_tCapiWt-6IYzTdTXqX_Ci1jVNCKu9nDCebDffWHQFuGJOLI&s=10
Nikko: Day Trip dari Tokyo ke Warisan UNESCO, https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/5149618327757/Nikko-UNESCO-Shrine-and-Nature-View-1-Day-Tour-from-Tokyo-015fd14c-6546-486b-ac35-a19927c7a66d.png?_src=imagekit&tr=c-at_max,h-250,q-80,w-412https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/5149618327757/Nikko-UNESCO-Shrine-and-Nature-View-1-Day-Tour-from-Tokyo-015fd14c-6546-486b-ac35-a19927c7a66d.png?_src=imagekit&tr=c-at_max,h-250,q-80,w-412
Menikmati Musim Sakura di Ueno Park — Jadwal & Tips 2027, https://awsimages.detik.net.id/community/media/visual/2026/03/18/tokyo-mulai-diselimuti-sakura-ueno-park-jadi-sinyal-awal-musim-hanami-1773820735302_169.jpeg?w=700&q=90
Akses Mudah ke Fuji Five Lakes dari Shinjuku, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoY23FaSN_y9veuBCWCLUArs4PqsHmU5fm0NNc0nSz4YPLxKDv6um-OpGp&s=10
Odaiba: Destinasi Keluarga Modern di Teluk Tokyo, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLh38BsVPcYa35M5JiqWz1rwgzM45kWrljaJmDZ-RbxGCCpZGXyQDGUTc&s=10
Momiji di Kiyomizu-dera: Panduan Musim Gugur Kyoto, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7XnsrAEwvm-i7VUOsPAkJoFnPTVvrRBtkYto-tGfO4gHsseP_bsALm2fh&s=10https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7XnsrAEwvm-i7VUOsPAkJoFnPTVvrRBtkYto-tGfO4gHsseP_bsALm2fh&s=10
Etika Onsen: Panduan untuk Pemula yang Berkunjung ke Jepang, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStaI-GRNVJh7GoFkIi5QmH_P2eifnVK18pv40dRuvJsn01y2qs9YyoQtUw&s=10https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStaI-GRNVJh7GoFkIi5QmH_P2eifnVK18pv40dRuvJsn01y2qs9YyoQtUw&s=10
Matsuri Gion: Sejarah dan Makna Festival Kyoto Terbesar, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZZS-uahOzaiF3hjPhWeg9hr39QoNlZcFoREE95XucP2I7T5pu0mCDVhQ&s=10https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZZS-uahOzaiF3hjPhWeg9hr39QoNlZcFoREE95XucP2I7T5pu0mCDVhQ&s=10
Memahami Konsep Omotenashi dalam Pelayanan Jepang, https://static.wixstatic.com/media/cada72_38c3c20a409d4a3d8b772f1f76946b3e~mv2.jpeg/v1/fill/w_568,h_320,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/cada72_38c3c20a409d4a3d8b772f1f76946b3e~mv2.jpeghttps://static.wixstatic.com/media/cada72_38c3c20a409d4a3d8b772f1f76946b3e~mv2.jpeg/v1/fill/w_568,h_320,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/cada72_38c3c20a409d4a3d8b772f1f76946b3e~mv2.jpeg
Kimono untuk Wisatawan: Kapan, Di Mana, dan Etika Berpakaian, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHkYpXFcewhm9Lep9-FnUqa2hcTLvHc_clMMDAmH8dVw&shttps://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHkYpXFcewhm9Lep9-FnUqa2hcTLvHc_clMMDAmH8dVw&s
10 Ungkapan Bahasa Jepang Sehari-hari yang Wajib Diketahui, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTH4vob0dHy5sTVzf174iIOGdaksEdcEU4l-hFQdIC4WkZqUQOViVLO7K0&s=10
Anime Musim Panas 2026: 5 Judul Paling Dinantikan, https://image.idn.media/post/20260625/upload_ca95b15f64cd00b08f4020e84c341fd2_980e8585-27e0-4da8-b22e-88b4fe1b883d.jpg
J-Pop Summer Fest 2026: Line-up Konser Terbaru, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-SVkVvTLNyl-Y_1Mag7su-wcmLoj_Fkk-sp-fHhse2UUy0b1saoH4ij_E&s=10https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-SVkVvTLNyl-Y_1Mag7su-wcmLoj_Fkk-sp-fHhse2UUy0b1saoH4ij_E&s=10
Review Film "Perfect Days" — Potret Kehidupan Sederhana di Tokyo, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiF0gYgxGlHL1zDtHTIiZjF5nrKkqlirKUkIblYFfQ2BQvfriEX3ADg4BI&s=10https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiF0gYgxGlHL1zDtHTIiZjF5nrKkqlirKUkIblYFfQ2BQvfriEX3ADg4BI&s=10
Manga Terlaris 2025: Tren Seinen yang Mendominasi Pasar, https://akcdn.detik.net.id/visual/2022/10/11/manga-one-piece-volume-100-4_169.jpeg?wid=63&w=650&t=jpeghttps://akcdn.detik.net.id/visual/2022/10/11/manga-one-piece-volume-100-4_169.jpeg?wid=63&w=650&t=jpeg
Comiket 103: Panduan First-Timer untuk Pengunjung Indonesia, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5a46p-81UiewWSl5UWodm3_1YgIB4TQNoLqu5CbmmlRi81Se1Zsi8Cj6R&s=10
Spotify Wrapped Jepang 2025: Artis Lokal yang Meledak, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZYI-qmFawtViMOQE0zTwsbpmIwHUluvn-TjLRmatJAHQvrMB-CYuW-LhQ&s=10
Anime Isekai 2026: Apakah Genre Ini Masih Relevan?, https://static0.gamerantimages.com/wordpress/wp-content/uploads/wm/2026/06/new-isekai-anime-of-2026.jpg?w=1600&h=900&fit=crop
Idol Group Baru dari AKB48 Sister: Debut dan Proyeksi, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqU0bnjVz70-l236S9aCpCBNyIcizE4o3R6mdGga-psG68fIdh3aajhb4&s=10
Tren Fashion Harajuku 2026: Minimalis Meets Streetwear, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCX8PcQ2I9RQIOpG8AyB7QbyYmwbode9rWLXlPRnvvH3ipTbNNP_fc73Y&s=10
Matcha Latte Fever: Kenapa Minuman Ini Viral di Indonesia, https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/061d/live/5d9c8cb0-71eb-11f1-b1db-af71d47507d6.jpg.webp
Filosofi Wabi-Sabi dalam Mendekorasi Ruang Hidup, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKWLBRC60gMee4SbhtoTkLbIptpIeh_4pXo6eCZV1OX-ZMyNkqOz39MWI&s=10https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKWLBRC60gMee4SbhtoTkLbIptpIeh_4pXo6eCZV1OX-ZMyNkqOz39MWI&s=10
Kaizen di Kehidupan Sehari-hari: Adaptasi Gaya Hidup Jepang, https://www.bizhare.id/media/wp-content/uploads/2024/01/0117_Thumbnail_Artikel-Media_Konsep-Kaizen-Kalahkan-Rasa-Malas-seperti-Orang-Jepang.jpg
Produk Viral Don Quijote yang Wajib Dibeli Wisatawan, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyLbTUqyDYwnZRzqpBwZkEXL0VlUiMsubzGikaBheTXvP3TuHrlMmXnNM&s=10https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyLbTUqyDYwnZRzqpBwZkEXL0VlUiMsubzGikaBheTXvP3TuHrlMmXnNM&s=10
Panduan Lengkap SSW (Specified Skilled Worker) untuk WNI, https://tensai-indonesia.com/wp-content/uploads/2025/08/image-036-577x385.png
Tips Interview Kerja di Perusahaan Jepang: Do's and Don'ts, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQltz62FZQ2jLPYRSS2ZGX4mItfJOBpyakLJllaRsP1Ec1Atkw-ql9RAbjE&s=10https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQltz62FZQ2jLPYRSS2ZGX4mItfJOBpyakLJllaRsP1Ec1Atkw-ql9RAbjE&s=10
Budaya Kerja Kuuki wo Yomu: Membaca Suasana Kantor Jepang., https://japan-dev.com/cdn/blog_images/its-in-the-air-the-meaning-of-kuuki-wo-yomu/its-in-the-air-the-meaning-of-kuuki-wo-yomu-5.jpg
Biaya Hidup Mahasiswa di Tokyo vs Osaka: Perbandingan 2026., https://static.wixstatic.com/media/4e13c9_614e1aca005b483098ff870d0c5dd5a1~mv2.jpg
Beasiswa MEXT 2027: Timeline dan Persyaratan untuk Pelamar Indonesia, https://www.scholarsofficial.com/wp-content/uploads/2026/04/ChatGPT-Image-Apr-6-2026-04_23_21-PM.png
Gaji dan Benefit Pekerja Asing di Sektor Perawatan Jepang, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbMhXRVjwWz3EY1LJ7uDSdwsuHBwbHlI2e0I48WS1xNP9SMr5287bJoMU&s=10
Panduan Apply Sekolah Bahasa Jepang untuk Pemula, https://kapanjepan.com/wp-content/uploads/2025/01/20231012_102028_0000-768x512.png
Tips Persiapan JLPT N3 dalam 6 Bulan, https://edulabojp.com/wp-content/uploads/2025/03/Frame-49324-2.png
Review FamilyMart Onigiri Terenak: Ranking 5 Rasa Wajib Coba, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsWDE2AJSTXOe4UH-_ZYbjX4vdTDvqtSrTSWLIHHkJ7rL9I3t_HeQYjKk&s=10
Review Nintendo Switch 2 Pro Controller: Worth It?, https://www.trustedreviews.com/wp-content/uploads/sites/7/2025/06/Nintendo-Switch-2-Pro-Controller-review-with-grip-and-loose-joy-con-2s-820x461.jpg
Ole-oleh Jepang Terbaik 2026: Dari Snack hingga Craft, https://ak-d.tripcdn.com/images/1mi72224x99pppfhb4C9E.jpg?proc=source/trip


